date,rain,month,year,scen
16.06.08,12.665775,6,2008,RCP2.6
16.07.08,5.1211433,7,2008,RCP2.6
16.08.08,8.747284,8,2008,RCP2.6
16.09.08,18.016504,9,2008,RCP2.6
16.10.08,64.29369,10,2008,RCP2.6
16.11.08,128.09792,11,2008,RCP2.6
16.12.08,104.74211,12,2008,RCP2.6
16.01.09,128.49721,1,2009,RCP2.6
15.02.09,119.84595,2,2009,RCP2.6
16.03.09,82.06295,3,2009,RCP2.6
16.04.09,99.77135,4,2009,RCP2.6
16.05.09,68.86259,5,2009,RCP2.6
16.06.09,21.186222,6,2009,RCP2.6
16.07.09,12.24058,7,2009,RCP2.6
16.08.09,8.879951,8,2009,RCP2.6
16.09.09,15.120141,9,2009,RCP2.6
16.10.09,62.959023,10,2009,RCP2.6
16.11.09,121.36794,11,2009,RCP2.6
16.12.09,119.81933,12,2009,RCP2.6
16.01.10,166.87439,1,2010,RCP2.6
15.02.10,127.52503,2,2010,RCP2.6
16.03.10,146.20547,3,2010,RCP2.6
16.04.10,69.02863,4,2010,RCP2.6
16.05.10,33.523697,5,2010,RCP2.6
16.06.10,8.746961,6,2010,RCP2.6
16.07.10,5.0634394,7,2010,RCP2.6
16.08.10,11.920534,8,2010,RCP2.6
16.09.10,12.366363,9,2010,RCP2.6
16.10.10,46.922928,10,2010,RCP2.6
16.11.10,78.336876,11,2010,RCP2.6
16.12.10,114.60558,12,2010,RCP2.6
16.01.11,151.01224,1,2011,RCP2.6
15.02.11,130.66447,2,2011,RCP2.6
16.03.11,106.61026,3,2011,RCP2.6
16.04.11,65.064674,4,2011,RCP2.6
16.05.11,34.734676,5,2011,RCP2.6
16.06.11,12.739933,6,2011,RCP2.6
16.07.11,5.023143,7,2011,RCP2.6
16.08.11,11.342906,8,2011,RCP2.6
16.09.11,11.957898,9,2011,RCP2.6
16.10.11,62.106495,10,2011,RCP2.6
16.11.11,79.17504,11,2011,RCP2.6
16.12.11,142.60565,12,2011,RCP2.6
16.01.12,120.651276,1,2012,RCP2.6
15.02.12,125.7095,2,2012,RCP2.6
16.03.12,150.31929,3,2012,RCP2.6
16.04.12,57.72299,4,2012,RCP2.6
16.05.12,76.83694,5,2012,RCP2.6
16.06.12,30.492886,6,2012,RCP2.6
16.07.12,13.680759,7,2012,RCP2.6
16.08.12,4.5917907,8,2012,RCP2.6
16.09.12,16.132181,9,2012,RCP2.6
16.10.12,88.37441,10,2012,RCP2.6
